clip_id,action_id,action_name,user_id,trial_id,Depth_Color_path,Depth_Color_length,IR_path,IR_length,Thermal_path,Thermal_length,Skeleton_path,Skeleton_length,IMU_path,IMU_length,Radar_path,Radar_length,has_Depth_Color,has_IR,has_Thermal,has_Skeleton,has_IMU,has_Radar
0_user16_1-1-1,0,Wash_face,user16,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user16\1-1-1,47,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user16\1-1-1,47,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user16\1-1-1,106,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user16\1-1-1,47,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user16\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user16\1-1-1,1,1,1,1,1,1,1
0_user16_1-1-2,0,Wash_face,user16,1-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user16\1-1-2,55,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user16\1-1-2,55,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user16\1-1-2,135,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user16\1-1-2,55,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user16\1-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user16\1-1-2,1,1,1,1,1,1,1
0_user16_1-1-3,0,Wash_face,user16,1-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user16\1-1-3,22,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user16\1-1-3,22,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user16\1-1-3,55,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user16\1-1-3,22,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user16\1-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user16\1-1-3,1,1,1,1,1,1,1
0_user18_7-1-1,0,Wash_face,user18,7-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user18\7-1-1,20,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user18\7-1-1,20,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user18\7-1-1,44,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user18\7-1-1,20,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user18\7-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user18\7-1-1,1,1,1,1,1,1,1
0_user18_7-1-2,0,Wash_face,user18,7-1-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user18\7-1-2,13,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user18\7-1-2,13,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user18\7-1-2,19,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user18\7-1-2,13,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user18\7-1-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user18\7-1-2,1,1,1,1,1,1,1
0_user18_7-1-3,0,Wash_face,user18,7-1-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user18\7-1-3,3,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user18\7-1-3,3,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user18\7-1-3,5,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user18\7-1-3,3,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user18\7-1-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user18\7-1-3,1,1,1,1,1,1,1
0_user20_4-2-1,0,Wash_face,user20,4-2-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user20\4-2-1,42,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user20\4-2-1,42,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user20\4-2-1,94,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user20\4-2-1,42,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user20\4-2-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user20\4-2-1,1,1,1,1,1,1,1
0_user20_4-2-2,0,Wash_face,user20,4-2-2,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user20\4-2-2,23,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user20\4-2-2,23,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user20\4-2-2,59,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user20\4-2-2,23,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user20\4-2-2,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user20\4-2-2,1,1,1,1,1,1,1
0_user20_4-2-3,0,Wash_face,user20,4-2-3,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user20\4-2-3,34,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user20\4-2-3,34,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user20\4-2-3,83,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user20\4-2-3,34,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user20\4-2-3,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user20\4-2-3,1,1,1,1,1,1,1
0_user21_1-1-1,0,Wash_face,user21,1-1-1,cuhk_dataset\Small-Model-Track\Training\data\Depth_Color\0_Wash_face\user21\1-1-1,14,cuhk_dataset\Small-Model-Track\Training\data\IR\0_Wash_face\user21\1-1-1,14,cuhk_dataset\Small-Model-Track\Training\data\Thermal\0_Wash_face\user21\1-1-1,35,cuhk_dataset\Small-Model-Track\Training\data\Skeleton\0_Wash_face\user21\1-1-1,14,cuhk_dataset\Small-Model-Track\Training\data\IMU\0_Wash_face\user21\1-1-1,2,cuhk_dataset\Small-Model-Track\Training\data\Radar\0_Wash_face\user21\1-1-1,1,1,1,1,1,1,1
